N,P,K,temperature,humidity,ph,rainfall,label
71,57,40,15.19,65.2,7.14,163.71,wheat
97,49,30,17.41,79.52,7.2,245.96,wheat
94,44,41,19.54,76.89,6.15,198.82,wheat
78,53,45,19.76,67.52,6.59,195.94,wheat
109,76,49,22.87,66.31,7.03,193.76,wheat
83,74,31,24.02,69.23,6.96,215.94,wheat
115,65,42,15.67,70.37,6.23,223.74,wheat
96,67,31,15.85,74.33,6.11,157.13,wheat
71,78,45,18.53,65.93,6.52,227.47,wheat
103,47,33,15.98,73.21,7.15,176.5,wheat
71,43,49,17.95,75.38,6.94,188.19,wheat
80,45,42,22.75,72.88,6.8,154.2,wheat
118,72,36,24.8,72.04,6.87,224.81,wheat
111,66,33,18.38,78.56,6.34,187.22,wheat
92,58,42,24.43,64.81,6.18,169.75,wheat
114,66,36,23.16,77.23,7.27,241.89,wheat
83,70,39,23.42,74.57,7.16,215.62,wheat
79,62,50,24.37,60.86,6.25,163.17,wheat
106,73,34,20.06,76.81,7.1,204.22,wheat
100,60,36,20.65,73.78,7.31,213.63,wheat
108,46,39,15.09,64.93,7.09,249.18,wheat
75,56,46,17.04,71.1,7.1,211.6,wheat
79,54,46,20.54,60.1,7.14,153.53,wheat
107,48,49,18.68,66.54,6.22,180.56,wheat
114,80,37,19.49,74.44,7.33,209.3,wheat
90,57,44,15.03,72.39,6.53,229.42,wheat
75,64,40,21.42,61.3,6.87,206.15,wheat
98,64,44,23.05,65.4,7.24,199.83,wheat
74,42,37,22.85,74.15,7.18,201.73,wheat
92,46,37,19.34,61.77,6.33,209.82,wheat
107,80,49,21.43,68.42,6.95,228.57,wheat
76,56,47,18.84,71.44,6.88,168.45,wheat
88,53,31,15.24,76.63,6.41,201.81,wheat
85,78,35,19.3,77.45,7.26,168.61,wheat
110,58,40,16.33,61.61,7.09,199.65,wheat
92,69,45,16.59,72.2,6.2,225.14,wheat
103,78,31,15.57,65.64,6.39,174.7,wheat
115,50,35,22.59,68.99,7.17,156.54,wheat
94,41,31,24.06,62.78,6.8,191.11,wheat
87,76,30,21.64,79.27,6.84,243.68,wheat
73,57,35,22.31,79.63,6.38,215.42,wheat
80,63,39,24.72,72.17,6.52,161.41,wheat
78,49,35,23.51,71.22,6.79,161.48,wheat
113,69,31,22.08,70.87,6.12,195.83,wheat
94,47,49,23.5,73.38,6.69,191.18,wheat
103,62,31,20.13,76.13,6.69,155.2,wheat
109,48,35,16.65,66.6,7.14,201.94,wheat
80,75,48,23.71,64.78,6.68,248.5,wheat
109,41,31,19.64,78.18,6.81,199.78,wheat
75,66,46,18.8,75.51,7.45,170.38,wheat
96,51,46,20.78,72.69,7.2,189.6,wheat
137,48,17,24.78,82.93,6.29,94.29,cotton
136,42,25,22.56,77.02,5.96,95.76,cotton
126,39,19,24.46,75.83,7.71,92.14,cotton
120,59,19,25.94,81.68,7.09,66.64,cotton
135,46,17,22.05,80.6,6.82,88.77,cotton
136,37,22,22.75,83.58,7.55,81.63,cotton
128,43,20,25.29,79.59,6.39,79.77,cotton
133,43,17,24.85,83.26,5.75,69.59,cotton
106,44,20,25.0,81.51,7.05,74.09,cotton
134,47,25,24.54,76.26,7.19,73.0,cotton
127,37,17,25.42,77.27,7.59,71.17,cotton
126,52,20,23.22,77.13,5.58,72.16,cotton
126,58,24,25.06,82.88,7.16,70.41,cotton
136,52,21,22.44,79.47,6.65,94.58,cotton
122,45,25,22.44,79.23,5.61,89.6,cotton
137,42,24,23.17,84.11,7.38,92.2,cotton
101,59,22,23.22,83.29,6.2,94.91,cotton
105,53,20,22.39,77.42,5.53,78.75,cotton
112,50,18,23.2,82.43,5.62,96.12,cotton
134,52,21,25.57,76.85,5.7,69.58,cotton
132,36,21,25.98,83.56,6.8,62.55,cotton
133,50,16,22.38,84.1,7.17,93.17,cotton
135,49,20,23.72,78.17,6.59,90.96,cotton
124,57,19,24.43,81.31,6.98,88.11,cotton
109,48,16,23.54,79.88,7.13,98.02,cotton
124,54,20,24.54,75.71,6.14,74.47,cotton
119,36,16,23.11,84.72,6.33,79.28,cotton
108,50,18,22.83,80.17,5.51,60.31,cotton
109,36,16,23.36,83.03,6.93,80.51,cotton
112,58,19,22.35,81.17,5.78,73.81,cotton
120,57,20,24.81,84.93,5.83,70.99,cotton
116,46,19,25.63,82.14,7.02,72.37,cotton
133,59,23,22.01,81.36,5.63,70.3,cotton
102,50,22,22.46,78.84,6.64,74.76,cotton
105,45,23,22.28,75.8,6.39,97.67,cotton
127,52,19,24.37,75.1,7.09,96.53,cotton
125,57,22,22.48,84.02,5.67,81.36,cotton
106,35,19,23.18,79.86,6.94,61.75,cotton
105,49,18,24.92,81.52,7.61,87.7,cotton
117,52,18,23.23,82.89,6.62,91.94,cotton
133,56,24,23.72,78.19,6.96,74.85,cotton
124,53,22,23.5,76.67,6.58,65.7,cotton
136,44,17,22.1,81.46,7.09,73.62,cotton
103,45,18,24.71,81.06,6.41,68.72,cotton
140,46,22,22.56,79.86,5.57,80.22,cotton
139,45,15,22.12,78.88,5.9,60.93,cotton
130,46,18,25.6,76.16,7.89,72.56,cotton
136,50,23,25.94,77.88,7.9,75.58,cotton
115,44,20,22.62,80.54,6.85,90.48,cotton
133,46,18,23.04,76.95,5.64,73.7,cotton
111,59,21,23.39,80.8,5.85,77.76,cotton
125,47,19,25.98,83.8,7.06,82.78,cotton
125,40,19,22.16,79.76,6.86,69.11,cotton
139,58,22,24.13,83.7,5.83,91.62,cotton
105,55,18,25.51,84.44,5.87,78.51,cotton
139,47,24,24.35,78.75,6.21,68.13,cotton
130,45,20,23.97,80.77,7.66,99.23,cotton
116,56,23,24.29,84.56,6.0,64.37,cotton
134,46,23,25.57,75.62,7.71,77.93,cotton
120,51,24,22.08,79.77,7.22,88.91,cotton
128,38,18,23.43,83.04,6.2,68.43,cotton
138,35,25,24.71,83.28,6.24,60.57,cotton
130,56,22,22.57,82.53,7.42,86.34,cotton
131,56,21,22.35,79.88,5.69,76.3,cotton
116,37,18,22.44,83.08,7.87,62.89,cotton
138,48,18,22.31,80.01,7.49,88.28,cotton
102,37,19,23.18,77.32,6.2,92.14,cotton
137,45,24,23.29,79.76,6.07,85.62,cotton
139,50,19,24.59,76.23,7.72,80.12,cotton
118,50,21,22.29,81.83,6.1,88.56,cotton
133,55,21,24.08,76.43,7.44,70.86,cotton
120,42,16,24.52,75.54,7.37,72.7,cotton
100,48,15,23.1,82.07,5.66,93.57,cotton
100,41,22,23.27,76.02,6.4,70.82,cotton
134,43,23,25.57,79.34,7.77,75.09,cotton
139,37,22,23.98,78.88,7.08,88.15,cotton
100,39,22,24.67,84.66,7.4,98.03,cotton
128,42,16,25.13,81.44,5.62,74.4,cotton
138,48,19,23.83,77.09,6.42,74.79,cotton
102,54,19,25.29,83.5,6.03,86.29,cotton
119,57,17,24.71,81.08,6.24,65.46,cotton
126,53,18,24.58,78.95,7.28,67.97,cotton
136,42,19,22.23,76.12,6.79,70.7,cotton
133,35,19,23.35,75.19,5.81,76.55,cotton
120,45,20,24.38,75.1,6.66,98.54,cotton
121,52,18,25.1,82.73,6.8,99.04,cotton
105,35,23,25.23,76.2,6.16,60.7,cotton
112,54,20,23.39,78.72,5.5,71.99,cotton
126,59,23,22.09,83.99,7.46,91.22,cotton
118,45,18,22.26,77.28,6.12,79.36,cotton
130,47,16,25.83,84.43,7.46,99.65,cotton
122,59,16,23.46,77.25,5.99,65.63,cotton
125,55,21,22.59,83.11,7.09,75.53,cotton
127,41,18,25.67,77.91,6.67,95.61,cotton
128,37,16,22.03,81.31,6.62,65.37,cotton
138,48,17,24.0,81.8,5.69,70.99,cotton
132,46,20,23.73,75.44,5.91,77.82,cotton
108,36,23,25.92,82.93,7.63,69.68,cotton
138,40,25,25.98,82.12,7.95,82.78,cotton
110,46,21,22.29,81.22,7.95,67.6,cotton
112,93,54,29.8,80.21,6.97,112.72,banana
86,82,52,26.24,81.41,6.5,94.88,banana
103,89,50,25.06,75.09,6.04,117.79,banana
89,86,47,26.61,83.48,6.59,92.86,banana
97,71,50,28.31,76.19,5.93,101.94,banana
117,95,45,28.81,78.72,6.09,112.63,banana
117,94,51,26.79,82.88,5.88,106.92,banana
94,86,47,25.96,84.18,5.65,105.18,banana
89,71,45,25.88,83.67,5.92,118.51,banana
103,81,51,27.58,82.59,5.92,100.59,banana
116,94,54,27.1,82.8,6.21,104.93,banana
88,85,47,26.66,83.55,5.81,92.13,banana
83,94,50,27.05,83.11,6.75,99.97,banana
108,89,52,25.76,83.76,6.31,98.47,banana
97,71,46,28.83,75.0,6.12,105.68,banana
82,94,47,26.52,78.04,5.85,90.04,banana
109,94,47,28.32,82.42,6.77,102.68,banana
92,78,52,29.08,76.82,6.06,117.06,banana
112,95,53,26.97,80.91,6.49,92.35,banana
102,88,47,28.9,80.84,6.93,91.27,banana
91,85,48,28.57,82.59,5.65,105.42,banana
100,79,54,29.14,81.97,6.57,103.85,banana
117,87,52,29.31,77.74,6.71,95.86,banana
94,78,55,29.28,82.01,6.59,106.86,banana
118,82,49,25.82,82.86,6.6,101.53,banana
81,91,45,28.52,84.7,6.16,97.05,banana
108,90,50,29.84,75.52,6.26,111.55,banana
115,74,53,27.76,78.97,5.7,115.96,banana
86,78,48,29.36,81.73,6.7,97.51,banana
105,84,53,29.53,75.12,6.51,91.56,banana
102,77,48,26.76,81.21,6.0,111.98,banana
96,72,53,26.43,79.33,6.53,99.97,banana
82,79,54,28.21,81.71,6.45,95.97,banana
97,89,46,26.39,77.76,6.15,119.41,banana
83,83,47,29.85,76.13,6.11,112.14,banana
108,81,48,26.99,77.64,5.81,104.49,banana
91,77,52,29.84,81.04,5.62,92.27,banana
118,77,46,28.0,81.24,6.47,98.02,banana
81,94,48,28.38,82.07,6.42,99.39,banana
91,85,54,29.73,76.06,5.73,118.34,banana
109,92,47,27.94,82.01,6.52,102.24,banana
81,85,48,27.25,84.58,6.1,115.19,banana
88,87,55,25.51,75.08,6.15,92.78,banana
110,93,49,26.29,79.34,6.59,90.27,banana
104,85,51,26.21,82.14,5.64,95.98,banana
115,88,45,26.24,77.14,5.91,97.43,banana
83,81,52,28.03,81.73,5.62,118.54,banana
114,90,53,29.66,80.44,5.8,108.5,banana
110,88,50,25.34,78.71,6.88,107.53,banana
102,77,49,29.48,81.66,6.68,103.63,banana
105,76,52,27.14,79.43,6.47,118.09,banana
83,91,48,27.22,75.22,5.95,105.08,banana
82,82,54,25.53,82.64,6.11,109.66,banana
90,74,47,25.35,76.86,6.5,116.45,banana
113,87,46,26.45,78.1,5.87,105.45,banana
101,79,49,29.14,82.89,5.96,117.41,banana
118,78,49,27.53,84.41,6.81,93.08,banana
96,84,50,25.97,83.59,6.52,115.14,banana
114,89,49,28.05,76.6,6.51,95.38,banana
108,76,46,25.83,75.02,6.58,111.97,banana
101,74,46,25.1,76.66,6.84,97.25,banana
94,73,47,27.6,81.08,5.87,91.73,banana
96,76,47,29.8,81.16,6.34,102.47,banana
97,84,52,28.51,76.72,6.25,102.36,banana
115,86,50,25.58,81.06,5.68,100.12,banana
86,87,47,26.96,83.96,5.81,105.23,banana
97,70,53,25.35,79.74,6.34,108.85,banana
108,76,45,28.62,80.36,6.75,114.64,banana
114,82,48,28.96,79.51,5.78,115.65,banana
115,82,46,26.94,83.04,6.85,96.1,banana
83,92,49,27.71,84.68,5.6,109.45,banana
83,79,53,27.17,84.97,6.34,99.63,banana
89,79,49,25.34,78.7,6.2,111.68,banana
106,88,45,26.09,81.62,6.23,90.16,banana
112,89,50,25.33,82.67,6.38,113.46,banana
110,90,50,25.7,81.71,6.43,112.27,banana
87,75,54,28.75,84.08,6.64,107.91,banana
106,92,51,28.16,76.56,6.21,111.49,banana
91,75,48,26.21,77.15,6.14,117.24,banana
100,75,46,28.48,78.83,6.73,109.79,banana
112,77,52,26.32,84.39,6.45,99.74,banana
91,75,52,26.09,80.95,5.9,109.86,banana
113,89,53,25.94,75.88,6.55,101.05,banana
97,71,48,25.17,83.79,5.87,106.72,banana
82,87,48,29.49,83.88,5.99,117.03,banana
120,91,53,26.25,80.77,5.6,92.85,banana
120,78,52,29.03,83.58,7.0,97.24,banana
82,80,46,25.11,78.6,6.68,106.99,banana
93,86,47,25.07,82.64,6.44,112.87,banana
82,91,51,27.82,81.25,6.8,107.61,banana
103,95,53,27.21,82.07,6.08,96.87,banana
104,93,54,26.71,80.28,5.82,119.87,banana
119,86,53,28.58,80.93,5.58,103.64,banana
107,87,49,29.71,76.67,6.25,110.73,banana
108,86,48,25.78,81.36,6.4,95.38,banana
108,81,52,29.19,76.7,5.53,113.37,banana
104,87,53,29.01,84.61,6.3,104.65,banana
96,74,51,26.39,84.21,6.37,107.79,banana
94,71,45,27.12,75.85,6.41,116.43,banana
115,86,47,29.31,83.86,5.79,112.12,banana
11,140,205,21.09,94.49,6.43,124.33,apple
19,141,196,22.01,90.34,6.96,120.42,apple
34,143,196,22.16,90.36,5.82,105.73,apple
19,127,196,21.5,90.74,6.96,118.98,apple
39,131,198,23.39,91.63,5.95,105.81,apple
5,126,199,23.02,90.31,5.82,120.23,apple
6,129,204,21.46,90.41,6.23,107.56,apple
23,140,196,22.74,92.53,5.72,115.6,apple
11,132,196,22.38,91.53,6.73,101.42,apple
17,131,202,22.72,93.34,6.67,121.56,apple
13,133,203,23.97,94.45,6.06,104.88,apple
20,139,200,22.45,94.19,6.04,121.49,apple
16,128,200,23.29,90.63,5.79,123.79,apple
7,134,201,22.47,93.22,5.84,113.82,apple
15,137,196,22.71,90.93,5.92,105.47,apple
7,141,198,23.78,94.85,6.36,103.58,apple
15,140,199,21.26,92.78,6.77,119.9,apple
7,137,197,21.65,94.37,5.87,106.58,apple
0,142,203,22.88,93.75,5.73,111.46,apple
14,122,200,23.76,90.2,5.94,105.19,apple
10,143,200,22.4,93.8,5.73,112.18,apple
17,135,205,23.31,91.99,6.74,104.27,apple
1,125,198,22.53,93.08,6.87,112.75,apple
20,121,195,22.65,92.19,6.76,104.02,apple
1,131,197,21.15,93.62,5.67,115.21,apple
11,124,199,23.4,91.96,6.63,103.14,apple
31,126,202,22.7,94.65,6.08,101.65,apple
1,141,200,23.33,91.17,6.02,100.75,apple
38,137,204,21.8,93.06,6.52,107.94,apple
34,144,204,23.22,91.39,5.92,124.08,apple
0,138,202,22.87,94.95,5.97,108.5,apple
3,131,198,22.03,94.17,6.9,104.64,apple
15,143,196,21.28,90.81,6.39,103.76,apple
39,131,200,21.74,92.35,6.49,118.78,apple
30,134,204,23.45,93.79,5.58,100.17,apple
8,137,199,22.21,94.42,6.84,122.73,apple
13,137,198,21.57,90.92,6.01,110.75,apple
33,123,202,22.59,91.44,6.24,107.5,apple
24,131,197,21.35,92.73,6.85,108.6,apple
29,136,204,23.46,92.83,6.49,122.46,apple
16,128,195,23.48,94.0,5.66,114.42,apple
19,123,205,21.64,90.34,6.39,118.47,apple
1,136,200,21.31,90.86,6.35,107.41,apple
38,140,205,21.78,94.85,6.15,108.69,apple
2,121,202,22.37,91.13,6.42,106.32,apple
23,129,203,23.46,92.39,6.03,109.06,apple
32,128,197,21.25,92.33,6.22,121.02,apple
9,130,203,23.47,91.92,6.19,107.58,apple
37,123,204,23.05,92.66,5.55,111.89,apple
16,124,202,23.91,92.81,6.57,101.71,apple
